brand,cashback,offer,details,url,date_time
"briggs-riley","4.5%","4.5% Cash Back","Get a great deal from Briggs & Riley Travelware plus  4.5% Cash Back  from Ebates!","briggs-riley.com",2017-04-29 00:40:59
"elevtd","4.5%","4.5% Cash Back","Get a great deal from See all ELEVTD plus  4.5% Cash Back  from Ebates!","elevtd.com",2017-04-29 00:40:59
"joesjeans","4.5%","4.5% Cash Back","Get a great deal from See all JOE'S Jeans plus  4.5% Cash Back  from Ebates!","joesjeans.com",2017-04-29 00:41:00
"luisaviaroma","4.5%","Up to 4.5% Cash Back","Get a great deal from See all Luisaviaroma plus  Up to 4.5% Cash Back  from Ebates!","luisaviaroma.com",2017-04-29 00:41:00
"bergdorfgoodman","4.0%","4.0% Cash Back","Get a great deal from See all Bergdorf Goodman plus  4.0% Cash Back  from Ebates!","bergdorfgoodman.com",2017-04-29 00:41:00
"bobbibrowncosmetics","4.0%","4.0% Cash Back","Get a great deal from Bobbi Brown Cosmetics plus  4.0% Cash Back  from Ebates!","bobbibrowncosmetics.com",2017-04-29 00:41:00
"dkny","4.0%","4.0% Cash Back","Get a great deal from See all DKNY plus  4.0% Cash Back  from Ebates!","dkny.com",2017-04-29 00:41:00
"dooneybourke","4.0%","4.0% Cash Back","Get a great deal from See all Dooney & Bourke plus  4.0% Cash Back  from Ebates!","dooneybourke.com",2017-04-29 00:41:00
"eastdane","4.0%","4.0% Cash Back","Get a great deal from See all East Dane plus  4.0% Cash Back  from Ebates!","eastdane.com",2017-04-29 00:41:00
"ghurka","4.0%","4.0% Cash Back","Get a great deal from See all Ghurka plus  4.0% Cash Back  from Ebates!","ghurka.com",2017-04-29 00:41:00
"giltgroupe","4.0%","4.0% Cash Back","Get a great deal from See all Gilt plus  4.0% Cash Back  from Ebates!","giltgroupe.com",2017-04-29 00:41:00
"giorgioarmanibeauty","4.0%","4.0% Cash Back","Get a great deal from Giorgio Armani Beauty plus  4.0% Cash Back  from Ebates!","giorgioarmanibeauty.com",2017-04-29 00:41:00
"horchow","4.0%","4.0% Cash Back","Get a great deal from See all Horchow plus  4.0% Cash Back  from Ebates!","horchow.com",2017-04-29 00:41:00
"intermix","4.0%","4.0% Cash Back","Get a great deal from See all INTERMIX plus  4.0% Cash Back  from Ebates!","intermix.com",2017-04-29 00:41:00
"jbrand","4.0%","4.0% Cash Back","Get a great deal from See all J Brand plus  4.0% Cash Back  from Ebates!","jbrand.com",2017-04-29 00:41:00
"jimmychoo","4.0%","4.0% Cash Back","Get a great deal from See all Jimmy Choo plus  4.0% Cash Back  from Ebates!","jimmychoo.com",2017-04-29 00:41:01
"johnvarvatos","4.0%","4.0% Cash Back","Get a great deal from See all John Varvatos plus  4.0% Cash Back  from Ebates!","johnvarvatos.com",2017-04-29 00:41:01
"jurlique","4.0%","4.0% Cash Back","Get a great deal from See all Jurlique plus  4.0% Cash Back  from Ebates!","jurlique.com",2017-04-29 00:41:01
"kiehls","4.0%","4.0% Cash Back","Get a great deal from See all Kiehl's plus  4.0% Cash Back  from Ebates!","kiehls.com",2017-04-29 00:41:01
"marcjacobsbeauty","4.0%","4.0% Cash Back","Get a great deal from See all Marc Jacobs Beauty plus  4.0% Cash Back  from Ebates!","marcjacobsbeauty.com",2017-04-29 00:41:01
"orchardmile","4.0%","4.0% Cash Back","Get a great deal from See all Orchard Mile plus  4.0% Cash Back  from Ebates!","orchardmile.com",2017-04-29 00:41:01
"ray-ban","4.0%","4.0% Cash Back","Get a great deal from See all Ray-Ban plus  4.0% Cash Back  from Ebates!","ray-ban.com",2017-04-29 00:41:01
"revive","4.0%","4.0% Cash Back","Get a great deal from See all ReVive plus  4.0% Cash Back  from Ebates!","revive.com",2017-04-29 00:41:01
"saksfifthavenue","4.0%","4.0% Cash Back","Get a great deal from See all Saks Fifth Avenue plus  4.0% Cash Back  from Ebates!","saksfifthavenue.com",2017-04-29 00:41:01
"saksfifthavenueoff5th","4.0%","4.0% Cash Back","Get a great deal from See all Saks OFF 5TH plus  4.0% Cash Back  from Ebates!","saksfifthavenueoff5th.com",2017-04-29 00:41:01
"sephora","4.0%","4.0% Cash Back","Get a great deal from See all Sephora plus  4.0% Cash Back  from Ebates!","sephora.com",2017-04-29 00:41:01
"shiseido","4.0%","4.0% Cash Back","Get a great deal from See all Shiseido plus  4.0% Cash Back  from Ebates!","shiseido.com",2017-04-29 00:41:01
"shopbop","4.0%","4.0% Cash Back","Get a great deal from See all Shopbop plus  4.0% Cash Back  from Ebates!","shopbop.com",2017-04-29 00:41:01
"stylebop","4.0%","4.0% Cash Back","Get a great deal from See all Stylebop plus  4.0% Cash Back  from Ebates!","stylebop.com",2017-04-29 00:41:01
"surlatable","4.0%","4.0% Cash Back","Get a great deal from See all Sur La Table plus  4.0% Cash Back  from Ebates!","surlatable.com",2017-04-29 00:41:01
"toryburch","4.0%","4.0% Cash Back","Get a great deal from See all Tory Burch plus  4.0% Cash Back  from Ebates!","toryburch.com",2017-04-29 00:41:02
"veronicabeard","4.0%","4.0% Cash Back","Get a great deal from See all Veronica Beard plus  4.0% Cash Back  from Ebates!","veronicabeard.com",2017-04-29 00:41:02
"vince","4.0%","4.0% Cash Back","Get a great deal from See all Vince plus  4.0% Cash Back  from Ebates!","vince.com",2017-04-29 00:41:02
"waterford","4.0%","4.0% Cash Back","Get a great deal from See all Waterford.com plus  4.0% Cash Back  from Ebates!","waterford.com",2017-04-29 00:41:02
"wedgwood","4.0%","4.0% Cash Back","Get a great deal from See all Wedgwood plus  4.0% Cash Back  from Ebates!","wedgwood.com",2017-04-29 00:41:02
"yves-saint-laurent","4.0%","4.0% Cash Back","Get a great deal from Yves Saint Laurent Beauty plus  4.0% Cash Back  from Ebates!","yves-saint-laurent.com",2017-04-29 00:41:02
"alexisbittar","3.5%","3.5% Cash Back","Get a great deal from See all Alexis Bittar plus  3.5% Cash Back  from Ebates!","alexisbittar.com",2017-04-29 00:41:02
"belstaff","3.5%","3.5% Cash Back","Get a great deal from See all Belstaff plus  3.5% Cash Back  from Ebates!","belstaff.com",2017-04-29 00:41:02
"calvinklein","3.5%","3.5% Cash Back","Get a great deal from See all Calvin Klein plus  3.5% Cash Back  from Ebates!","calvinklein.com",2017-04-29 00:41:02
"dianevonfurstenberg","3.5%","3.5% Cash Back","Get a great deal from Diane von Furstenberg DVF plus  3.5% Cash Back  from Ebates!","dianevonfurstenberg.com",2017-04-29 00:41:02
"effyjewelers","3.5%","3.5% Cash Back","Get a great deal from See all Effy Jewelry plus  3.5% Cash Back  from Ebates!","effyjewelers.com",2017-04-29 00:41:02
"frankandoak","3.5%","3.5% Cash Back","Get a great deal from See all Frank + Oak plus  3.5% Cash Back  from Ebates!","frankandoak.com",2017-04-29 00:41:02
"halston","3.5%","3.5% Cash Back","Get a great deal from See all Halston Heritage plus  3.5% Cash Back  from Ebates!","halston.com",2017-04-29 00:41:02
"hugoboss","3.5%","3.5% Cash Back","Get a great deal from See all Hugo Boss plus  3.5% Cash Back  from Ebates!","hugoboss.com",2017-04-29 00:41:02
"joie","3.5%","3.5% Cash Back","Get a great deal from See all Joie plus  3.5% Cash Back  from Ebates!","joie.com",2017-04-29 00:41:03
"katespade","3.5%","3.5% Cash Back","Get a great deal from See all kate spade new york plus  3.5% Cash Back  from Ebates!","katespade.com",2017-04-29 00:41:03
"marahoffman","3.5%","3.5% Cash Back","Get a great deal from See all Mara Hoffman plus  3.5% Cash Back  from Ebates!","marahoffman.com",2017-04-29 00:41:03
"matchesfashion","3.5%","3.5% Cash Back","Get a great deal from See all MATCHESFASHION.COM plus  3.5% Cash Back  from Ebates!","matchesfashion.com",2017-04-29 00:41:03
"armani","3.0%","3.0% Cash Back","Get a great deal from See all Armani plus  3.0% Cash Back  from Ebates!","armani.com",2017-04-29 00:41:03
"barneysnewyork","3.0%","3.0% Cash Back","Get a great deal from See all Barneys New York plus  3.0% Cash Back  from Ebates!","barneysnewyork.com",2017-04-29 00:41:03
"barneyswarehouse","3.0%","3.0% Cash Back","Get a great deal from See all Barneys Warehouse plus  3.0% Cash Back  from Ebates!","barneyswarehouse.com",2017-04-29 00:41:03
"bloomingdales","3.0%","3.0% Cash Back","Get a great deal from See all Bloomingdale's plus  3.0% Cash Back  from Ebates!","bloomingdales.com",2017-04-29 00:41:03
"darphin","3.0%","3.0% Cash Back","Get a great deal from See all Darphin plus  3.0% Cash Back  from Ebates!","darphin.com",2017-04-29 00:41:03
"esteelauder","3.0%","3.0% Cash Back","Get a great deal from See all Estée Lauder plus  3.0% Cash Back  from Ebates!","esteelauder.com",2017-04-29 00:41:03
"farfetch","3.0%","3.0% Cash Back","Get a great deal from See all Farfetch plus  3.0% Cash Back  from Ebates!","farfetch.com",2017-04-29 00:41:03
"helmutlang","3.0%","3.0% Cash Back","Get a great deal from See all Helmut Lang plus  3.0% Cash Back  from Ebates!","helmutlang.com",2017-04-29 00:41:03
"jomalone","3.0%","3.0% Cash Back","Get a great deal from See all Jo Malone London plus  3.0% Cash Back  from Ebates!","jomalone.com",2017-04-29 00:41:03
"judithripka","3.0%","3.0% Cash Back","Get a great deal from See all Judith Ripka plus  3.0% Cash Back  from Ebates!","judithripka.com",2017-04-29 00:41:03
"kellywearstler","3.0%","3.0% Cash Back","Get a great deal from See all Kelly Wearstler plus  3.0% Cash Back  from Ebates!","kellywearstler.com",2017-04-29 00:41:04
"loccitane","3.0%","3.0% Cash Back","Get a great deal from See all L'OCCITANE plus  3.0% Cash Back  from Ebates!","loccitane.com",2017-04-29 00:41:04
"lagarconne","3.0%","3.0% Cash Back","Get a great deal from See all La Garconne plus  3.0% Cash Back  from Ebates!","lagarconne.com",2017-04-29 00:41:04
"lamer","3.0%","3.0% Cash Back","Get a great deal from See all La Mer plus  3.0% Cash Back  from Ebates!","lamer.com",2017-04-29 00:41:04
"michaelkors","3.0%","3.0% Cash Back","Get a great deal from See all Michael Kors plus  3.0% Cash Back  from Ebates!","michaelkors.com",2017-04-29 00:41:04
"modaoperandi","3.0%","3.0% Cash Back","Get a great deal from See all Moda Operandi plus  3.0% Cash Back  from Ebates!","modaoperandi.com",2017-04-29 00:41:04
"moschino","3.0%","3.0% Cash Back","Get a great deal from See all Moschino plus  3.0% Cash Back  from Ebates!","moschino.com",2017-04-29 00:41:04
"mrporter","3.0%","3.0% Cash Back","Get a great deal from See all MR PORTER plus  3.0% Cash Back  from Ebates!","mrporter.com",2017-04-29 00:41:04
"mytheresa","3.0%","3.0% Cash Back","Get a great deal from See all mytheresa.com plus  3.0% Cash Back  from Ebates!","mytheresa.com",2017-04-29 00:41:04
"neimanmarcus","3.0%","3.0% Cash Back","Get a great deal from See all Neiman Marcus plus  3.0% Cash Back  from Ebates!","neimanmarcus.com",2017-04-29 00:41:04
"theoutnet","3.0%","3.0% Cash Back","Get a great deal from See all The Outnet.com plus  3.0% Cash Back  from Ebates!","theoutnet.com",2017-04-29 00:41:04
